-- bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
306, 1.0412396119644274, -10.505471373406301, 0.0
407, 1.0432001734312735, -9.469936030005728, 0.0
1, 1.0336754590671402, -19.98344506856076, 0.0
54, 1.0409921551141321, -20.433729172001442, 0.0
101, 1.043023329070422, -12.851762755784982, 0.0
371, 1.0459539812444596, -16.70533339485204, 0.0
41, 1.0416651637178953, -12.637239846909269, 0.0
464, 1.0454104587077553, -12.506398781207963, 0.0
65, 1.045613506527279, -8.318400735114713, 0.0
475, 1.037523064257727, -14.630024429468769, 0.0
447, 1.0375913396956917, -13.06461351899651, 0.0
335, 1.041838718613274, -12.679375760188154, 0.0
362, 1.0401587528185243, -12.683484154329054, 0.0
491, 1.0468638186256456, -21.463465058578155, 50.0
326, 1.043741579153992, -21.430244709522736, 0.0
299, 1.0432163874193165, -9.03095541088683, 0.0
168, 1.0400306849175756, -3.6755160519531556, 0.0
159, 1.038149365166781, -20.669949041524944, 0.0
403, 1.0396948709373235, -12.23570109844677, 0.0
228, 1.0406115984517474, -8.655453917451805, 0.0
332, 1.0448988824119771, -12.25061471197876, 0.0
190, 1.039184107695906, -13.494343219320575, 0.0
227, 1.0385019514447518, -5.740149941470768, 0.0
270, 1.0376549166953801, -13.599022838037047, 0.0
476, 1.0427495689952293, -20.666102481535848, 0.0
223, 1.0449161156183286, -12.748855509415336, 0.0
453, 1.045688420949565, -17.831291791908196, 0.0
88, 1.0408235273539086, -6.2779675651404805, 0.0
467, 1.0404689695987563, -5.709846498870837, 0.0
297, 1.0442253420155476, -8.045506467404776, 0.0
26, 1.0407929217521532, -12.92154850792147, 0.0
289, 1.0414415725440136, -6.543311029646883, 0.0
250, 1.045051918000792, -11.349342556078012, 0.0
77, 1.040445928285771, -6.953746846384328, 0.0
230, 1.0363885512822324, -8.358820080197203, 0.0
24, 1.040913994702294, -12.906878095933752, 0.0
449, 1.0392957000760146, -12.9777639438362, 0.0
394, 1.0418498493042077, -4.146069585751225, 0.0
258, 1.0410654428014439, -10.918494761077094, 0.0
328, 1.0395006208977828, -8.45371825114516, 0.0
204, 1.0381376616478373, -11.90818606129699, 0.0
