-- bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
306, 1.0, -11.375345274394892, 0.0
153, 1.0, -14.450481749066002, 0.0
1, 1.0, -21.967949217738635, 0.0
54, 1.0, -22.453021507395317, 0.0
101, 1.0, -14.009483250782637, 0.0
371, 1.0, -18.368590145355665, 0.0
41, 1.0, -13.782085014307233, 0.0
464, 1.0, -13.635032753363843, 0.0
65, 1.0, -9.002909371726501, 0.0
475, 1.0, -16.04462803582918, 0.0
447, 1.0, -14.261858482373036, 0.0
335, 1.0, -13.823330176736812, 0.0
362, 1.0, -13.79892302908338, 0.0
491, 1.0, -23.54109048018062, 0.0
326, 1.0, -23.52701273243005, 0.0
299, 1.0, -9.785861447817865, 0.0
168, 1.0, -3.9642940298823253, 0.0
159, 1.0, -22.721104474673385, 0.0
403, 1.0, -13.327396565661518, 0.0
228, 1.0, -9.367602595400246, 0.0
332, 1.0, -13.357866770306183, 0.0
190, 1.0, -14.779556498443794, 0.0
227, 1.0, -6.219638416426386, 0.0
270, 1.0, -14.905039163322408, 0.0
476, 1.0, -22.700292916153927, 0.0
223, 1.0, -13.950456917772357, 0.0
453, 1.0, -19.6082769320375, 0.0
88, 1.0, -6.862224893271269, 0.0
467, 1.0, -6.173607752891604, 0.0
297, 1.0, -8.707744172664063, 0.0
26, 1.0, -14.07527030331969, 0.0
289, 1.0, -7.0751230140060075, 0.0
250, 1.0, -12.37007848990136, 0.0
230, 1.0, -9.06039910985305, 0.0
77, 1.0, -7.614685845052797, 0.0
24, 1.0, -14.058287073155752, 0.0
449, 1.0, -14.155608205589626, 0.0
394, 1.0, -4.476819081812898, 0.0
258, 1.0, -11.827825314420991, 0.0
328, 1.0, -9.140559072475803, 0.0
204, 1.0, -12.97881151846961, 0.0
387, 1.0, -5.445206251144639, 0.0
23, 1.0, -13.602369874250147, 0.0
160, 1.0, -12.499333353719102, 0.0
416, 1.0, -23.4653979486596, 0.0
450, 1.0, -14.15640504234992, 0.0
149, 1.0, -11.935234974623391, 0.0
359, 1.0, -11.987261485410322, 0.0
59, 1.0, -10.052530207716387, 0.0
184, 1.0, -7.544266278193431, 0.0
43, 1.0, -12.11567833246883, 0.0
122, 1.0, -23.268317828768236, 0.0
